State,District Name,School Name
Texas,ORENDA CHARTER SCHOOL,Nolan Creek School
Texas,ORENDA CHARTER SCHOOL,Kingsland School
Texas,ACADEMY ISD,Academy High School 
Texas,ACADEMY ISD,Bell County Alternative School
Texas,ACADEMY ISD,Academy Junior High
Texas,ACADEMY ISD,Academy Juvenile Justice Alternative Education Programs
Texas,ACADEMY ISD,Academy Int
Texas,ACADEMY ISD,Academy Elementary
Texas,BARTLETT ISD,Bartlett Schools
Texas,BARTLETT ISD,Williamson Co Juvenile Justice Alternative Education Programs
Texas,BARTLETT ISD,Bell Co Juvenile Justice Alternative Education Programs
Texas,BELTON ISD,Belton High School 
Texas,BELTON ISD,Belton New Tech High School  At Waskow
Texas,BELTON ISD,Bell Co Juvenile Justice Alternative Education Programs
Texas,BELTON ISD,Lake Belton Middle
Texas,BELTON ISD,South Belton Middle
Texas,BELTON ISD,North Belton Middle
Texas,BELTON ISD,Leon Heights Elementary
Texas,BELTON ISD,Miller Heights Elementary
Texas,BELTON ISD,Southwest Elementary
Texas,BELTON ISD,Lakewood Elementary
Texas,BELTON ISD,Sparta Elementary
Texas,BELTON ISD,Joe M Pirtle Elementary
Texas,BELTON ISD,Tarver Elementary
Texas,BELTON ISD,High Point Elementary
Texas,BELTON ISD,Chisholm Trail Elementary
Texas,BELTON ISD,Belton Early Childhood School
Texas,HOLLAND ISD,Holland High School 
Texas,HOLLAND ISD,Bell County Juvenile Justice Alternative Education Programs
Texas,HOLLAND ISD,Bell County Disciplinary Alternative Education Program
Texas,HOLLAND ISD,Holland Middle
Texas,HOLLAND ISD,Holland Elementary
Texas,KILLEEN ISD,Killeen High School 
Texas,KILLEEN ISD,C E Elementarylison High School 
Texas,KILLEEN ISD,Killeen Isd Career Center
Texas,KILLEEN ISD,Gateway High School 
Texas,KILLEEN ISD,Pathways Academic Campus
Texas,KILLEEN ISD,Harker Heights High School 
Texas,KILLEEN ISD,Robert M Shoemaker High School 
Texas,KILLEEN ISD,Gateway Middle
Texas,KILLEEN ISD,Killeen Isd Early College High School 
Texas,KILLEEN ISD,Metroplex School
Texas,KILLEEN ISD,Killeen Juvenile Justice Alternative Education Programs
Texas,KILLEEN ISD,Nolan Middle
Texas,KILLEEN ISD,Rancier Middle
Texas,KILLEEN ISD,Manor Middle
